Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2010010567154,4-Jan-10,1/3/2010 14:30,SLC,Salt Lake City International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010010567158,4-Jan-10,1/2/2010 0:00,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010010567173,4-Jan-10,1/2/2010 5:00,SEA,Seattle-Tacoma International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cameras; Cameras,$0.00 ,Deny
2010010567177,4-Jan-10,1/1/2010 0:00,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2010010567182,4-Jan-10,1/2/2010 0:00,LAS,McCarran International,American Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010010567184,4-Jan-10,1/3/2010 0:00,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010010667239,4-Jan-10,1/2/2010 15:00,ASE,Aspen Pitkin County Sardy Field,Frontier Airlines,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010011167421,4-Jan-10,1/1/2010 0:00,SEA,Seattle-Tacoma International,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Computer & Accessories,"$1,579.40 ",Settle
2010010567163,5-Jan-10,1/5/2010 0:00,XNA,Northwest Arkansas Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Cameras,$193.98 ,Approve in Full
2010010767268,5-Jan-10,1/2/2010 0:00,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,-,-
2010072574035,20-Aug-10,5/27/2010 0:00,PHX,Phoenix Sky Harbor International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2010082275213,20-Aug-10,8/17/2010 20:30,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010082275216,20-Aug-10,8/13/2010 14:15,ELP,El Paso International Airport,Southwest Airlines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,$0.00 ,Deny
2010082275219,20-Aug-10,8/11/2010 4:30,CLT,Charlotte/Douglas International Airport,American Airlines  ,Passenger Property Loss,Checkpoint,Other,$106.16 ,Approve in Full
2010082275221,20-Aug-10,8/14/2010 17:00,IAD,Washington Dulles International,Qatar airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,$0.00 ,Deny
2010082275223,20-Aug-10,7/31/2010 20:45,HNL,Honolulu International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$95.00 ,Approve in Full
2010082275224,20-Aug-10,8/14/2010 5:15,LIT,Little Rock National,-,Property Damage,Checkpoint,Computer & Accessories,$224.00 ,Approve in Full
2010082575329,20-Aug-10,8/18/2010 15:00,LAS,McCarran International,Southwest Airlines  ,Personal Injury,Checkpoint,Other,$0.00 ,Deny
2010082675352,20-Aug-10,8/8/2010 14:00,JFK,John F. Kennedy International,Air China,Passenger Property Loss,Checked Baggage,Personal Electronics; Personal Electronics,$0.00 ,Deny
2010082675356,20-Aug-10,6/27/2010 10:30,TOL,Toledo Express,Allegiant Air,Passenger Property Loss,Checkpoint,Cameras,$150.00 ,Approve in Full
2010082675359,20-Aug-10,7/11/2010 10:00,SMF,Sacramento International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$46.00 ,Approve in Full
2010082675361,20-Aug-10,7/6/2010 6:00,MIA,Miami International Airport,TAM airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010082675364,20-Aug-10,8/3/2010 0:00,BGR,Bangor International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$0.00 ,Deny
2010082675367,20-Aug-10,8/1/2010 9:50,BDL,Bradley International Airport,Southwest Airlines  ,Property Damage,Checkpoint,Personal Accessories,$130.00 ,Approve in Full
2010082675369,20-Aug-10,8/4/2010 0:00,SEA,Seattle-Tacoma International,British Airways  ,Passenger Property Loss,Checked Baggage,Home Decor,$0.00 ,Deny
2010082675371,20-Aug-10,8/4/2010 0:00,GPI,"Glacier Park Int., Kalispell, MT",UAL  ,Property Damage,Checked Baggage,Cameras,$31.42 ,Approve in Full
2010082675373,20-Aug-10,7/22/2010 10:00,PDX,Portland International,Delta Air Lines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,$50.00 ,Settle
2010082675378,20-Aug-10,7/23/2010 0:00,GEG,Spokane International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$12.00 ,Approve in Full
2010090875808,20-Aug-10,8/6/2010 0:00,ERI,Erie International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Computer & Accessories,$0.00 ,Deny
2010083175504,22-Aug-10,6/3/2010 20:00,ORD,Chicago O'Hare International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Food & Drink; Jewelry & Watches,$0.00 ,Deny
2010082575325,23-Aug-10,7/22/2010 19:55,SLC,Salt Lake City International Airport,Southwest Airlines  ,Property Damage,Checkpoint,Personal Accessories,$0.00 ,Deny
2010082475272,23-Aug-10,7/28/2010 8:00,JFK,John F. Kennedy International,American Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Clothing; Clothing; Clothing,$0.00 ,Deny
2010082475280,23-Aug-10,8/12/2010 7:30,LIH,Lihue Airport,Hawaiian Airlines  ,Passenger Property Loss,Checkpoint,Cameras,-,-
2010082475286,23-Aug-10,8/18/2010 6:15,MCO,Orlando International Airport,Jet Blue,Passenger Property Loss,Checkpoint,Computer & Accessories,$0.00 ,Deny
2010082475301,23-Aug-10,5/28/2010 10:15,IND,Indianapolis International,AirTran Airlines,Personal Injury,Checkpoint,-,$0.00 ,Deny
2010082475305,23-Aug-10,8/18/2010 10:00,MDW,Midway International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010082475314,23-Aug-10,7/25/2010 7:30,SNA,John Wayne,American Airlines  ,Passenger Property Loss,Checkpoint,Personal Electronics,$0.00 ,Deny
2010082475319,23-Aug-10,8/12/2010 16:15,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing; Travel Accessories,$0.00 ,Deny
2010082475320,23-Aug-10,8/14/2010 0:00,ALB,Albany International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010082575321,23-Aug-10,8/16/2010 17:00,MCO,Orlando International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010082575322,23-Aug-10,8/4/2010 17:15,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checkpoint,Computer & Accessories,$770.54 ,Settle
2010082575327,23-Aug-10,8/17/2010 13:48,CVG,Cincinnati/Northern Kentucky International,USAir  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming; Medical/Science; Other,$0.00 ,Deny
